Title,Authors,ISBN,Date Finished,Star Rating,Review,Status
A Psalm for the Wild-Built,Becky Chambers,9781250236210,2021-10-12 00:00,4,,Read
Heir to the Empire: Star Wars Legends: The 20th Anniversary Edition,Timothy Zahn,9780345530004,2021-10-07 00:00,2,,Read
Dread Nation,Justina Ireland,9781789090888,2021-09-19 00:00,5,,Read
The Ocean at the End of the Lane: A Novel,Neil Gaiman,9780062255655,2021-09-02 00:00,4,,Read
A Darker Shade of Magic,V. E. Schwab,9780765376459,2021-07-25 00:00,5,,Read
Acceptance: A Novel,Jeff VanderMeer,9780374104115,2021-07-25 00:00,4,,Read
Authority: A Novel,Jeff VanderMeer,9780374104108,2021-07-25 00:00,4,,Read
Annihilation,Jeff VanderMeer,9780374537159,2021-07-25 00:00,5,,Read
The Hero of Ages,Brandon Sanderson,9781484440711,2021-07-25 00:00,4,,Read
"The Hummingbirds’ Gift: Wonder, Beauty, and Renewal on Wings",Sy Montgomery,9781982176082,2021-07-10 00:00,5,,Read
The Night Circus,Erin Morgenstern,9780307744432,2021-06-10 00:00,5,,Read
Cheshire Crossing,Andy Weir,9780876179154,2021-06-03 00:00,4,,Read
A Closed and Common Orbit,Becky Chambers,9780062569400,2021-06-03 00:00,5,,Read
The Colorado Kid,Stephen King,9780843955842,2021-06-02 00:00,4,,Read
The Dutch House,Ann Patchett,9781526624062,2021-05-22 00:00,5,,Read
Station Eleven: A Novel,Emily St. John Mandel,9780385353304,2021-05-21 00:00,5,,Read
Man's Search for Meaning,Viktor Emil Frankl,9780807014295,2021-05-18 00:00,4,,Read
Shadows for Silence in the Forests of Hell,Brandon Sanderson,9781938570087,2021-04-24 00:00,4,,Read
"The Long Way to a Small, Angry Planet",Becky Chambers,9781500453305,2021-04-24 00:00,4,,Read
How to Be a Good Creature: A Memoir in Thirteen Animals,"Sy Montgomery, Rebecca Green (Illustrator)",9780544938328,2021-03-26 00:00,5,,Read
Storm Front,Jim Butcher,9780451457813,2021-02-26 00:00,3,,Read
Shadow of the Conqueror,Shad M. Brooks,9780648572916,2021-01-29 00:00,3,,Read
Foundryside,Robert Jackson Bennett,9780525573845,2020-11-17 00:00,4,,Read
Fangs,Sarah Andersen,9781524860677,2020-11-04 00:00,5,,Read
Metro 2033,Dmitry Glukhovsky,9780575086258,2020-10-30 00:00,3,,Read
Skyward,Brandon Sanderson,9780399555800,2020-10-26 00:00,4,,Read
Vengeful,V. E. Schwab,9780765387530,2020-09-05 00:00,5,,Read
Warbreaker,Brandon Sanderson,9780575097476,2020-08-28 00:00,4,,Read
Vicious,V. E. Schwab,9781250160263,2020-07-21 00:00,5,,Read
Halo: The Fall of Reach,Eric S. Nylund,9781841494203,2020-07-21 00:00,3,,Read
Dead Astronauts,Jeff VanderMeer,9780771049200,2020-05-29 00:00,5,,Read
Dune,Frank Herbert,9781529347852,2020-03-21 00:00,4,,Read
The Murder of Roger Ackroyd,Agatha Christie,9780008255817,2020-02-16 00:00,5,Agatha. Your writing is amazing. I can’t believe this book is pushing 100.,Read
The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,9781633691797,2020-02-14 00:00,4,,Read
How Will You Measure Your Life?,"James Allworth, Clayton M. Christensen, Karen Dillon",9780062102423,2020-02-04 00:00,5,,Read
Bel Canto,Ann Patchett,9780007381791,2020-02-03 00:00,5,This was an absolutely beautiful book. My first time reading Ann Patchett and I can say this won’t be my last.,Read
This Is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",9781534430990,2020-01-21 00:00,5,,Read
The Return of Captain John Emmett,Elizabeth Speller,9780547511696,2020-01-19 00:00,5,,Read
All Systems Red,Martha Wells,9780765397539,2020-01-11 00:00,3,,Read
The Boat,Nam Le,9780307269461,2020-01-05 00:00,5,This was a random find at the local used bookstore. I picked it up on a whim and so glad I did. Nam Le’s stories pulled me in. Each story is a snapshot of a human experience in this bleak and beautiful world.,Read
The Dark Forest,Cixin Liu,9788466660921,2019-12-29 00:00,4,,Read
The Clothing of Books,Jhumpa Lahiri,9780525432753,2019-12-27 00:00,5,"Jhumpa Lahiri’s observations on book cover designs and her own personal relationship with book covers was so candid. As a trained graphic designer, I’m often left questioning the visual choices made by book cover designers. I often prefer hardcovers with the intent on removing the jacket, leaving a naked, minimal, and often more interesting presentation of the book. The perspective and the experience Lahiri has with book covers brings a",Read
El Deafo,Cece Bell,9781419710209,2019-12-24 00:00,5,,Read
Children of Virtue and Vengeance,Tomi Adeyemi,9781250171009,2019-12-21 00:00,5,,Read
"Love Wins: A Book about Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,9780062049650,2019-12-04 00:00,5,,Read
Monstress Volume 3,"Marjorie Liu, Sana Takeda (Artist)",9781534306912,2019-11-30 00:00,4,,Read
Monstress Volume 4,"Marjorie Liu, Sana Takeda (Artist)",9781534313361,2019-11-30 00:00,4,,Read
World War Z: An Oral History of the Zombie War,Max Brooks,9780770437404,2019-11-19 00:00,4,,Read
Exhalation,Ted Chiang,9781101972083,2019-11-09 00:00,5,,Read
Harry Potter and the Deathly Hallows,J. K. Rowling,9781338299205,2019-11-06 00:00,5,,Read
Saga Book Three,"Fiona Staples (Artist), Brian K. Vaughan",9781534312210,2019-09-27 00:00,5,,Read
"Snow, Glass, Apples",Neil Gaiman,9781472262912,2019-09-24 00:00,5,"Fantastic, fresh take on an old classic",Read
When Captain Flint Was Still a Good Man,Nick Dybek,9781594488092,2019-09-18 00:00,4,,Read
The Three-Body Problem,Cixin Liu,9789861206066,2019-09-10 00:00,5,,Read
Antifragile: Things that Gain from Disorder,Nassim Nicholas Taleb,9780812979688,2019-09-07 00:00,4,,Read
Harry Potter and the Half-Blood Prince,J. K. Rowling,9781338299199,2019-08-28 00:00,4,,Read
Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,9780143109792,2019-08-22 00:00,4,,Read
Eternals,"Neil Gaiman, John Romita (Artist)",9780785125419,2019-08-19 00:00,3,,Read
Dark Matter: A Novel,Blake Crouch,9781101904220,2019-08-17 00:00,4,,Read
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,9780804137409,2019-07-05 00:00,3,,Read
Why Not Me?,Mindy Kaling,9780804138161,2019-06-28 00:00,4,"I really enjoyed listening to Mindy Kaling talk through many different aspects of her life and some alternative universe what ifs. The part that struck me the most was the final chapter where she addresses a question she is asked often “how she is so confident.” Her thoughts on the matter were very encouraging for me as I’ve been learning over the years how to be confident, but wanting to stay humble as my confidence grows.",Read
Harry Potter and the Order of the Phoenix,"Brian Selznick (Illustrator), J. K. Rowling, Mary GrandPré (Illustrator)",9781338299182,2019-05-18 00:00,4,,Read
Harry Potter and the Goblet of Fire,J. K. Rowling,9780545791427,2019-05-06 00:00,4,,Read
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9781526622808,2019-04-05 00:00,4,,Read
Harry Potter and the Chamber of Secrets,J. K. Rowling,9781549054181,2019-04-01 00:00,4,,Read
CIRCE,Madeline Miller,9780316556347,2019-03-10 00:00,5,,Read
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,9780525536543,2019-02-18 00:00,4,,Read
A Briefer History of Time,"Stephen Hawking, Erik Davies, Leonard Mlodinow",9780553804362,2019-02-18 00:00,4,,Read
Nietzsche in 90 Minutes,Paul Strathern,9781566631211,2019-02-11 00:00,3,"I’ve never really known much about Nietzsche. His name was thrown around a good bit in my college German courses. This was a nice little biography and gave me some decent sources to delve into more, including Nietzsche’s own work, of course.",Read
Monstress Volume 2: The Blood,"Marjorie Liu, Sana Takeda (Artist)",9781534310803,2018-12-10 00:00,4,,Read
"Monstress Volume 1: The Awakening
","Marjorie Liu, Sana Takeda (Artist)",9781632157096,2018-12-08 00:00,4,,Read
I'd Rather Be Reading: The Delights and Dilemmas of the Reading Life,Anne Bogel,9780801072925,2018-11-27 00:00,5,,Read
Bonfire: A Novel,Krysten Ritter,9781524759858,2018-11-25 00:00,4,,Read
Children of Blood and Bone,Tomi Adeyemi,9781432864095,2018-09-09 00:00,5,,Read
Empathy for the Devil: Finding Ourselves in the Villains of the Bible,J. R. . Forasteros,9780830888962,2018-09-09 00:00,5,,Read
Marvel 1602,Neil Gaiman,9781417750825,2018-08-13 00:00,4,,Read
The Soul of an Octopus: A Surprising Exploration into the Wonder of Consciousness,Sy Montgomery,9781501161148,2018-07-26 00:00,4,,Read
1493: Uncovering the New World Columbus Created,Charles C. Mann,9780307278241,2018-05-18 00:00,4,,Read
All the Pieces Matter: The Inside Story of the Wire®,Jonathan Abrams,9780451498151,2018-04-20 00:00,5,,Read
